"mosquito_id" "age_class" "isolate" "dpi" "oocyst" "broken_oocyst" "spz"
88 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
89 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
90 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
91 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
92 "12-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
93 "12-day-old" "isolate F (72 gam/µl)" 6 7 NA NA
94 "12-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
95 "12-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
96 "12-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
97 "12-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
98 "12-day-old" "isolate F (72 gam/µl)" 6 1 NA NA
99 "12-day-old" "isolate F (72 gam/µl)" 6 20 NA NA
100 "12-day-old" "isolate F (72 gam/µl)" 6 2 NA NA
101 "12-day-old" "isolate F (72 gam/µl)" 6 4 NA NA
102 "12-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
103 "12-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
104 "12-day-old" "isolate F (72 gam/µl)" 6 1 NA NA
105 "12-day-old" "isolate F (72 gam/µl)" 6 1 NA NA
106 "12-day-old" "isolate F (72 gam/µl)" 6 4 NA NA
107 "12-day-old" "isolate F (72 gam/µl)" 6 2 NA NA
108 "12-day-old" "isolate F (72 gam/µl)" 6 8 NA NA
109 "12-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
110 "12-day-old" "isolate F (72 gam/µl)" 6 1 NA NA
111 "12-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
112 "12-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
113 "12-day-old" "isolate F (72 gam/µl)" 6 1 NA NA
114 "12-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
115 "12-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
116 "12-day-old" "isolate F (72 gam/µl)" 6 4 NA NA
117 "12-day-old" "isolate F (72 gam/µl)" 6 1 NA NA
118 "12-day-old" "isolate F (72 gam/µl)" 6 1 NA NA
119 "12-day-old" "isolate F (72 gam/µl)" 6 3 NA NA
120 "12-day-old" "isolate F (72 gam/µl)" 6 30 NA NA
121 "12-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
122 "12-day-old" "isolate F (72 gam/µl)" 6 9 NA NA
123 "12-day-old" "isolate F (72 gam/µl)" 6 5 NA NA
124 "12-day-old" "isolate F (72 gam/µl)" 6 2 NA NA
125 "4-day-old" "isolate E (64 gam/µl)" 17 1 17 NA
126 "4-day-old" "isolate E (64 gam/µl)" 17 1 3 NA
127 "4-day-old" "isolate E (64 gam/µl)" 17 0 1 NA
128 "4-day-old" "isolate E (64 gam/µl)" 17 0 10 NA
129 "4-day-old" "isolate E (64 gam/µl)" 17 1 0 NA
130 "4-day-old" "isolate E (64 gam/µl)" 17 1 3 NA
131 "4-day-old" "isolate E (64 gam/µl)" 17 1 4 NA
132 "4-day-old" "isolate E (64 gam/µl)" 17 2 0 NA
133 "4-day-old" "isolate E (64 gam/µl)" 17 3 2 NA
134 "4-day-old" "isolate E (64 gam/µl)" 17 5 8 NA
135 "4-day-old" "isolate E (64 gam/µl)" 17 2 4 NA
136 "4-day-old" "isolate E (64 gam/µl)" 17 2 0 NA
137 "4-day-old" "isolate E (64 gam/µl)" 17 5 12 NA
138 "4-day-old" "isolate F (72 gam/µl)" 17 36 2 NA
139 "4-day-old" "isolate F (72 gam/µl)" 17 0 19 NA
140 "4-day-old" "isolate F (72 gam/µl)" 17 0 1 NA
141 "4-day-old" "isolate F (72 gam/µl)" 17 0 0 NA
142 "4-day-old" "isolate F (72 gam/µl)" 17 0 1 NA
143 "4-day-old" "isolate F (72 gam/µl)" 17 3 2 NA
144 "4-day-old" "isolate F (72 gam/µl)" 17 0 2 NA
145 "4-day-old" "isolate F (72 gam/µl)" 17 0 0 NA
146 "4-day-old" "isolate F (72 gam/µl)" 17 0 0 NA
147 "4-day-old" "isolate F (72 gam/µl)" 17 0 8 NA
148 "4-day-old" "isolate F (72 gam/µl)" 17 0 3 NA
149 "4-day-old" "isolate F (72 gam/µl)" 17 0 8 NA
150 "4-day-old" "isolate F (72 gam/µl)" 17 0 5 NA
151 "4-day-old" "isolate F (72 gam/µl)" 17 0 0 NA
152 "4-day-old" "isolate E (64 gam/µl)" 8 1 0 "0"
153 "4-day-old" "isolate E (64 gam/µl)" 8 7 0 "0"
154 "4-day-old" "isolate E (64 gam/µl)" 8 1 0 "0"
155 "4-day-old" "isolate E (64 gam/µl)" 8 5 0 "0"
156 "4-day-old" "isolate E (64 gam/µl)" 8 8 0 "0"
157 "4-day-old" "isolate E (64 gam/µl)" 8 3 0 "0"
158 "4-day-old" "isolate E (64 gam/µl)" 8 5 0 "0"
159 "4-day-old" "isolate E (64 gam/µl)" 8 0 0 "0"
160 "4-day-old" "isolate E (64 gam/µl)" 8 1 0 "0"
161 "4-day-old" "isolate E (64 gam/µl)" 8 1 0 "0"
162 "4-day-old" "isolate E (64 gam/µl)" 8 0 0 "0"
163 "4-day-old" "isolate E (64 gam/µl)" 8 0 0 "0"
164 "4-day-old" "isolate F (72 gam/µl)" 8 9 0 "0"
165 "4-day-old" "isolate F (72 gam/µl)" 8 14 0 "0"
166 "4-day-old" "isolate F (72 gam/µl)" 8 1 0 "0"
167 "4-day-old" "isolate F (72 gam/µl)" 8 12 0 "0"
168 "4-day-old" "isolate F (72 gam/µl)" 8 18 0 "0"
169 "4-day-old" "isolate F (72 gam/µl)" 8 30 0 "0"
170 "4-day-old" "isolate F (72 gam/µl)" 8 2 0 "0"
171 "4-day-old" "isolate F (72 gam/µl)" 8 15 0 "0"
172 "4-day-old" "isolate F (72 gam/µl)" 8 0 0 "0"
173 "4-day-old" "isolate F (72 gam/µl)" 8 0 0 "0"
174 "4-day-old" "isolate F (72 gam/µl)" 8 10 0 "0"
175 "4-day-old" "isolate F (72 gam/µl)" 8 19 0 "0"
176 "12-day-old" "isolate E (64 gam/µl)" 8 0 0 "0"
177 "12-day-old" "isolate E (64 gam/µl)" 8 0 0 "0"
178 "12-day-old" "isolate E (64 gam/µl)" 8 5 0 "0"
179 "12-day-old" "isolate E (64 gam/µl)" 8 0 0 "0"
180 "12-day-old" "isolate E (64 gam/µl)" 8 11 0 "0"
181 "12-day-old" "isolate E (64 gam/µl)" 8 1 0 "0"
182 "12-day-old" "isolate E (64 gam/µl)" 8 9 0 "0"
183 "12-day-old" "isolate E (64 gam/µl)" 8 0 0 "0"
184 "12-day-old" "isolate E (64 gam/µl)" 8 0 0 "0"
185 "12-day-old" "isolate E (64 gam/µl)" 8 0 0 "0"
186 "12-day-old" "isolate F (72 gam/µl)" 8 0 0 "0"
187 "12-day-old" "isolate F (72 gam/µl)" 8 1 0 "0"
188 "12-day-old" "isolate F (72 gam/µl)" 8 2 0 "0"
189 "12-day-old" "isolate F (72 gam/µl)" 8 14 0 "0"
190 "12-day-old" "isolate F (72 gam/µl)" 8 2 0 "0"
191 "12-day-old" "isolate F (72 gam/µl)" 8 4 0 "0"
192 "12-day-old" "isolate F (72 gam/µl)" 8 0 0 "0"
193 "12-day-old" "isolate F (72 gam/µl)" 8 2 0 "0"
194 "12-day-old" "isolate F (72 gam/µl)" 8 9 0 "0"
195 "12-day-old" "isolate F (72 gam/µl)" 8 0 0 "0"
196 "12-day-old" "isolate F (72 gam/µl)" 8 11 0 "0"
197 "4-day-old" "isolate E (64 gam/µl)" 9 2 0 "0"
198 "4-day-old" "isolate E (64 gam/µl)" 9 15 0 "0"
199 "4-day-old" "isolate E (64 gam/µl)" 9 8 0 "0"
200 "4-day-old" "isolate E (64 gam/µl)" 9 4 0 "0"
201 "4-day-old" "isolate E (64 gam/µl)" 9 4 0 "0"
202 "4-day-old" "isolate E (64 gam/µl)" 9 0 0 "0"
203 "4-day-old" "isolate E (64 gam/µl)" 9 5 0 "0"
204 "4-day-old" "isolate E (64 gam/µl)" 9 6 0 "0"
205 "4-day-old" "isolate E (64 gam/µl)" 9 2 0 "0"
206 "4-day-old" "isolate E (64 gam/µl)" 9 11 0 "0"
207 "4-day-old" "isolate E (64 gam/µl)" 9 6 0 "0"
208 "4-day-old" "isolate E (64 gam/µl)" 9 1 0 "0"
209 "4-day-old" "isolate F (72 gam/µl)" 9 19 0 "0"
210 "4-day-old" "isolate F (72 gam/µl)" 9 21 0 "0"
211 "4-day-old" "isolate F (72 gam/µl)" 9 56 0 "0"
212 "4-day-old" "isolate F (72 gam/µl)" 9 2 0 "0"
213 "4-day-old" "isolate F (72 gam/µl)" 9 23 0 "0"
214 "4-day-old" "isolate F (72 gam/µl)" 9 9 0 "0"
215 "4-day-old" "isolate F (72 gam/µl)" 9 4 0 "0"
216 "4-day-old" "isolate F (72 gam/µl)" 9 1 0 "0"
217 "4-day-old" "isolate F (72 gam/µl)" 9 13 0 "0"
218 "4-day-old" "isolate F (72 gam/µl)" 9 3 0 "0"
219 "4-day-old" "isolate F (72 gam/µl)" 9 10 0 "0"
220 "12-day-old" "isolate E (64 gam/µl)" 9 10 0 "0"
221 "12-day-old" "isolate E (64 gam/µl)" 9 4 0 "0"
222 "12-day-old" "isolate E (64 gam/µl)" 9 3 0 "0"
223 "12-day-old" "isolate E (64 gam/µl)" 9 8 0 "0"
224 "12-day-old" "isolate E (64 gam/µl)" 9 5 0 "0"
225 "12-day-old" "isolate E (64 gam/µl)" 9 7 0 "0"
226 "12-day-old" "isolate E (64 gam/µl)" 9 8 0 "0"
227 "12-day-old" "isolate E (64 gam/µl)" 9 0 0 "0"
228 "12-day-old" "isolate E (64 gam/µl)" 9 5 0 "0"
229 "12-day-old" "isolate E (64 gam/µl)" 9 0 0 "0"
230 "12-day-old" "isolate E (64 gam/µl)" 9 3 0 "0"
231 "12-day-old" "isolate F (72 gam/µl)" 9 19 0 "0"
232 "12-day-old" "isolate F (72 gam/µl)" 9 5 0 "0"
233 "12-day-old" "isolate F (72 gam/µl)" 9 0 0 "0"
234 "12-day-old" "isolate F (72 gam/µl)" 9 0 0 "0"
235 "12-day-old" "isolate F (72 gam/µl)" 9 0 0 "0"
236 "12-day-old" "isolate F (72 gam/µl)" 9 0 0 "0"
237 "12-day-old" "isolate F (72 gam/µl)" 9 2 0 "0"
238 "12-day-old" "isolate F (72 gam/µl)" 9 3 0 "0"
239 "12-day-old" "isolate F (72 gam/µl)" 9 2 0 "0"
240 "12-day-old" "isolate F (72 gam/µl)" 9 0 0 "0"
241 "4-day-old" "isolate E (64 gam/µl)" 10 8 0 "0"
242 "4-day-old" "isolate E (64 gam/µl)" 10 7 0 "0"
243 "4-day-old" "isolate E (64 gam/µl)" 10 5 0 "0"
244 "4-day-old" "isolate E (64 gam/µl)" 10 0 0 "0"
245 "4-day-old" "isolate E (64 gam/µl)" 10 0 0 "0"
246 "4-day-old" "isolate E (64 gam/µl)" 10 6 0 "0"
247 "4-day-old" "isolate E (64 gam/µl)" 10 1 0 "0"
248 "4-day-old" "isolate E (64 gam/µl)" 10 0 0 "0"
249 "4-day-old" "isolate E (64 gam/µl)" 10 3 0 "0"
250 "4-day-old" "isolate E (64 gam/µl)" 10 2 0 "0"
251 "4-day-old" "isolate E (64 gam/µl)" 10 0 0 "0"
252 "4-day-old" "isolate E (64 gam/µl)" 10 2 0 "0"
253 "4-day-old" "isolate F (72 gam/µl)" 10 6 0 "0"
254 "4-day-old" "isolate F (72 gam/µl)" 10 7 0 "0"
255 "4-day-old" "isolate F (72 gam/µl)" 10 3 0 "0"
256 "4-day-old" "isolate F (72 gam/µl)" 10 21 0 "0"
257 "4-day-old" "isolate F (72 gam/µl)" 10 1 0 "0"
258 "4-day-old" "isolate F (72 gam/µl)" 10 1 0 "0"
259 "4-day-old" "isolate F (72 gam/µl)" 10 0 0 "0"
260 "4-day-old" "isolate F (72 gam/µl)" 10 3 0 "0"
261 "4-day-old" "isolate F (72 gam/µl)" 10 13 0 "0"
262 "4-day-old" "isolate F (72 gam/µl)" 10 0 0 "0"
263 "4-day-old" "isolate F (72 gam/µl)" 10 0 0 "0"
264 "4-day-old" "isolate F (72 gam/µl)" 10 0 0 "0"
265 "12-day-old" "isolate E (64 gam/µl)" 10 2 0 "0"
266 "12-day-old" "isolate E (64 gam/µl)" 10 6 0 "0"
267 "12-day-old" "isolate E (64 gam/µl)" 10 10 0 "0"
268 "12-day-old" "isolate E (64 gam/µl)" 10 1 0 "0"
269 "12-day-old" "isolate E (64 gam/µl)" 10 0 0 "0"
270 "12-day-old" "isolate E (64 gam/µl)" 10 13 0 "0"
271 "12-day-old" "isolate E (64 gam/µl)" 10 1 0 "0"
272 "12-day-old" "isolate E (64 gam/µl)" 10 0 0 "0"
273 "12-day-old" "isolate E (64 gam/µl)" 10 1 0 "0"
274 "12-day-old" "isolate E (64 gam/µl)" 10 0 0 "0"
275 "12-day-old" "isolate E (64 gam/µl)" 10 3 0 "0"
276 "12-day-old" "isolate F (72 gam/µl)" 10 13 0 "0"
277 "12-day-old" "isolate F (72 gam/µl)" 10 8 2 "0"
278 "12-day-old" "isolate F (72 gam/µl)" 10 2 0 "0"
279 "12-day-old" "isolate F (72 gam/µl)" 10 1 0 "0"
280 "12-day-old" "isolate F (72 gam/µl)" 10 8 0 "0"
281 "12-day-old" "isolate F (72 gam/µl)" 10 1 0 "0"
282 "12-day-old" "isolate F (72 gam/µl)" 10 0 0 "0"
283 "12-day-old" "isolate F (72 gam/µl)" 10 6 0 "0"
284 "12-day-old" "isolate F (72 gam/µl)" 10 0 0 "0"
285 "12-day-old" "isolate F (72 gam/µl)" 10 0 0 "0"
286 "12-day-old" "isolate F (72 gam/µl)" 10 2 0 "0"
287 "4-day-old" "isolate E (64 gam/µl)" 11 3 1 "0"
288 "4-day-old" "isolate E (64 gam/µl)" 11 5 1 "0"
289 "4-day-old" "isolate E (64 gam/µl)" 11 3 0 "0"
290 "4-day-old" "isolate E (64 gam/µl)" 11 4 0 "0"
291 "4-day-old" "isolate E (64 gam/µl)" 11 1 0 "0"
292 "4-day-old" "isolate E (64 gam/µl)" 11 5 0 "0"
293 "4-day-old" "isolate E (64 gam/µl)" 11 6 0 "0"
294 "4-day-old" "isolate E (64 gam/µl)" 11 0 0 "0"
295 "4-day-old" "isolate E (64 gam/µl)" 11 1 0 "0"
296 "4-day-old" "isolate E (64 gam/µl)" 11 3 0 "0"
297 "4-day-old" "isolate E (64 gam/µl)" 11 2 1 "0"
298 "4-day-old" "isolate E (64 gam/µl)" 11 2 0 "0"
299 "4-day-old" "isolate F (72 gam/µl)" 11 0 0 "0"
300 "4-day-old" "isolate F (72 gam/µl)" 11 25 4 "0"
301 "4-day-old" "isolate F (72 gam/µl)" 11 9 0 "0"
302 "4-day-old" "isolate F (72 gam/µl)" 11 0 0 "0"
303 "4-day-old" "isolate F (72 gam/µl)" 11 5 4 "0"
304 "4-day-old" "isolate F (72 gam/µl)" 11 7 1 "0"
305 "4-day-old" "isolate F (72 gam/µl)" 11 17 0 "0"
306 "4-day-old" "isolate F (72 gam/µl)" 11 9 1 "0"
307 "4-day-old" "isolate F (72 gam/µl)" 11 1 0 "0"
308 "4-day-old" "isolate F (72 gam/µl)" 11 0 0 "0"
309 "4-day-old" "isolate F (72 gam/µl)" 11 3 0 "0"
310 "4-day-old" "isolate F (72 gam/µl)" 11 3 0 "0"
311 "12-day-old" "isolate E (64 gam/µl)" 11 4 0 "0"
312 "12-day-old" "isolate E (64 gam/µl)" 11 2 0 "0"
313 "12-day-old" "isolate E (64 gam/µl)" 11 3 0 "0"
314 "12-day-old" "isolate E (64 gam/µl)" 11 21 0 "0"
315 "12-day-old" "isolate E (64 gam/µl)" 11 1 0 "0"
316 "12-day-old" "isolate E (64 gam/µl)" 11 2 0 "0"
317 "12-day-old" "isolate E (64 gam/µl)" 11 3 0 "0"
318 "12-day-old" "isolate E (64 gam/µl)" 11 8 2 "0"
319 "12-day-old" "isolate E (64 gam/µl)" 11 2 0 "0"
320 "12-day-old" "isolate E (64 gam/µl)" 11 1 0 "0"
321 "12-day-old" "isolate E (64 gam/µl)" 11 1 0 "0"
322 "12-day-old" "isolate F (72 gam/µl)" 11 3 0 "0"
323 "12-day-old" "isolate F (72 gam/µl)" 11 0 0 "0"
324 "12-day-old" "isolate F (72 gam/µl)" 11 0 0 "0"
325 "12-day-old" "isolate F (72 gam/µl)" 11 15 0 "0"
326 "12-day-old" "isolate F (72 gam/µl)" 11 0 0 "0"
327 "12-day-old" "isolate F (72 gam/µl)" 11 4 0 "0"
328 "12-day-old" "isolate F (72 gam/µl)" 11 1 0 "0"
329 "12-day-old" "isolate F (72 gam/µl)" 11 0 0 "0"
330 "12-day-old" "isolate F (72 gam/µl)" 11 2 0 "0"
331 "12-day-old" "isolate F (72 gam/µl)" 11 1 1 "0"
332 "12-day-old" "isolate F (72 gam/µl)" 11 2 0 "0"
333 "4-day-old" "isolate E (64 gam/µl)" 12 7 0 "0"
334 "4-day-old" "isolate E (64 gam/µl)" 12 4 1 "0"
335 "4-day-old" "isolate E (64 gam/µl)" 12 2 0 "0"
336 "4-day-old" "isolate E (64 gam/µl)" 12 0 0 "0"
337 "4-day-old" "isolate E (64 gam/µl)" 12 0 0 "0"
338 "4-day-old" "isolate E (64 gam/µl)" 12 0 0 "0"
339 "4-day-old" "isolate E (64 gam/µl)" 12 5 0 "0"
340 "4-day-old" "isolate E (64 gam/µl)" 12 1 1 "0"
341 "4-day-old" "isolate E (64 gam/µl)" 12 3 1 "0"
342 "4-day-old" "isolate E (64 gam/µl)" 12 0 0 "0"
343 "4-day-old" "isolate E (64 gam/µl)" 12 1 0 "0"
344 "4-day-old" "isolate F (72 gam/µl)" 12 1 0 "0"
345 "4-day-old" "isolate F (72 gam/µl)" 12 1 0 "0"
346 "4-day-old" "isolate F (72 gam/µl)" 12 0 0 "0"
347 "4-day-old" "isolate F (72 gam/µl)" 12 5 0 "0"
348 "4-day-old" "isolate F (72 gam/µl)" 12 1 0 "0"
349 "4-day-old" "isolate F (72 gam/µl)" 12 14 0 "0"
350 "4-day-old" "isolate F (72 gam/µl)" 12 5 1 "0"
351 "4-day-old" "isolate F (72 gam/µl)" 12 25 0 "0"
352 "4-day-old" "isolate F (72 gam/µl)" 12 0 0 "0"
353 "12-day-old" "isolate E (64 gam/µl)" 12 3 0 "0"
354 "12-day-old" "isolate E (64 gam/µl)" 12 1 2 "0"
355 "12-day-old" "isolate E (64 gam/µl)" 12 4 0 "0"
356 "12-day-old" "isolate E (64 gam/µl)" 12 0 0 "0"
357 "12-day-old" "isolate E (64 gam/µl)" 12 0 0 "0"
358 "12-day-old" "isolate E (64 gam/µl)" 12 0 0 "0"
359 "12-day-old" "isolate E (64 gam/µl)" 12 1 0 "0"
360 "12-day-old" "isolate E (64 gam/µl)" 12 0 0 "0"
361 "12-day-old" "isolate E (64 gam/µl)" 12 0 0 "0"
362 "12-day-old" "isolate E (64 gam/µl)" 12 0 0 "0"
363 "12-day-old" "isolate E (64 gam/µl)" 12 0 0 "0"
364 "12-day-old" "isolate F (72 gam/µl)" 12 3 1 "0"
365 "12-day-old" "isolate F (72 gam/µl)" 12 6 3 "0"
366 "12-day-old" "isolate F (72 gam/µl)" 12 0 0 "0"
367 "12-day-old" "isolate F (72 gam/µl)" 12 4 0 "0"
368 "12-day-old" "isolate F (72 gam/µl)" 12 15 2 "0"
369 "12-day-old" "isolate F (72 gam/µl)" 12 1 0 "0"
370 "12-day-old" "isolate F (72 gam/µl)" 12 0 0 "0"
371 "12-day-old" "isolate F (72 gam/µl)" 12 1 0 "0"
372 "12-day-old" "isolate F (72 gam/µl)" 12 0 0 "0"
373 "12-day-old" "isolate F (72 gam/µl)" 12 0 1 "0"
374 "4-day-old" "isolate E (64 gam/µl)" 13 2 0 "0"
375 "4-day-old" "isolate E (64 gam/µl)" 13 1 0 "0"
376 "4-day-old" "isolate E (64 gam/µl)" 13 4 0 "0"
377 "4-day-old" "isolate E (64 gam/µl)" 13 3 1 "0"
378 "4-day-old" "isolate E (64 gam/µl)" 13 4 1 "0"
379 "4-day-old" "isolate E (64 gam/µl)" 13 4 0 "0"
380 "4-day-old" "isolate E (64 gam/µl)" 13 3 1 "0"
381 "4-day-old" "isolate E (64 gam/µl)" 13 9 0 "0"
382 "4-day-old" "isolate E (64 gam/µl)" 13 5 1 "0"
383 "4-day-old" "isolate F (72 gam/µl)" 13 19 1 "0"
384 "4-day-old" "isolate F (72 gam/µl)" 13 3 1 "0"
385 "4-day-old" "isolate F (72 gam/µl)" 13 0 0 "0"
386 "4-day-old" "isolate F (72 gam/µl)" 13 4 0 "0"
387 "4-day-old" "isolate F (72 gam/µl)" 13 0 0 "0"
388 "4-day-old" "isolate F (72 gam/µl)" 13 3 0 "0"
389 "4-day-old" "isolate F (72 gam/µl)" 13 0 0 "0"
390 "12-day-old" "isolate E (64 gam/µl)" 13 4 1 "0"
391 "12-day-old" "isolate E (64 gam/µl)" 13 0 1 "0"
392 "12-day-old" "isolate E (64 gam/µl)" 13 10 2 "0"
393 "12-day-old" "isolate E (64 gam/µl)" 13 11 0 "0"
394 "12-day-old" "isolate E (64 gam/µl)" 13 4 0 "0"
395 "12-day-old" "isolate E (64 gam/µl)" 13 0 0 "0"
396 "12-day-old" "isolate F (72 gam/µl)" 13 0 0 "0"
397 "12-day-old" "isolate F (72 gam/µl)" 13 1 0 "0"
398 "12-day-old" "isolate F (72 gam/µl)" 13 0 0 "0"
399 "12-day-old" "isolate F (72 gam/µl)" 13 1 0 "0"
400 "12-day-old" "isolate F (72 gam/µl)" 13 0 0 "0"
401 "12-day-old" "isolate F (72 gam/µl)" 13 0 0 "0"
