"mosquito_id" "age_class" "isolate" "Ct" "positive"
73 "4-day-old" "isolate C (80 gam/µl)" 22.16 1
74 "4-day-old" "isolate C (80 gam/µl)" 22.16 1
75 "8-day-old" "isolate A (40 gam/µl)" 22.17 1
76 "8-day-old" "isolate D (40 gam/µl)" 22.18 1
77 "8-day-old" "isolate A (40 gam/µl)" 22.22 1
78 "4-day-old" "isolate C (80 gam/µl)" 22.23 1
79 "8-day-old" "isolate B (36 gam/µl)" 22.28 1
80 "4-day-old" "isolate A (40 gam/µl)" 22.32 1
81 "4-day-old" "isolate A (40 gam/µl)" 22.36 1
82 "12-day-old" "isolate A (40 gam/µl)" 22.41 1
83 "8-day-old" "isolate B (36 gam/µl)" 22.48 1
84 "4-day-old" "isolate B (36 gam/µl)" 22.48 1
85 "4-day-old" "isolate D (40 gam/µl)" 22.61 1
86 "8-day-old" "isolate D (40 gam/µl)" 22.64 1
87 "12-day-old" "isolate D (40 gam/µl)" 22.65 1
88 "12-day-old" "isolate D (40 gam/µl)" 22.67 1
89 "4-day-old" "isolate C (80 gam/µl)" 22.77 1
90 "8-day-old" "isolate D (40 gam/µl)" 22.8 1
91 "12-day-old" "isolate C (80 gam/µl)" 22.85 1
92 "12-day-old" "isolate D (40 gam/µl)" 22.87 1
93 "4-day-old" "isolate B (36 gam/µl)" 22.9 1
94 "4-day-old" "isolate C (80 gam/µl)" 22.9 1
95 "12-day-old" "isolate D (40 gam/µl)" 22.97 1
96 "4-day-old" "isolate C (80 gam/µl)" 22.98 1
97 "8-day-old" "isolate D (40 gam/µl)" 23.02 1
98 "8-day-old" "isolate A (40 gam/µl)" 23.06 1
99 "4-day-old" "isolate C (80 gam/µl)" 23.08 1
100 "8-day-old" "isolate A (40 gam/µl)" 23.16 1
101 "8-day-old" "isolate B (36 gam/µl)" 23.18 1
102 "4-day-old" "isolate C (80 gam/µl)" 23.21 1
103 "4-day-old" "isolate C (80 gam/µl)" 23.21 1
104 "8-day-old" "isolate B (36 gam/µl)" 23.22 1
105 "4-day-old" "isolate B (36 gam/µl)" 23.34 1
106 "12-day-old" "isolate D (40 gam/µl)" 23.34 1
107 "4-day-old" "isolate D (40 gam/µl)" 23.35 1
108 "4-day-old" "isolate D (40 gam/µl)" 23.4 1
109 "12-day-old" "isolate A (40 gam/µl)" 23.41 1
110 "8-day-old" "isolate D (40 gam/µl)" 23.41 1
111 "4-day-old" "isolate C (80 gam/µl)" 23.44 1
112 "8-day-old" "isolate B (36 gam/µl)" 23.45 1
113 "8-day-old" "isolate B (36 gam/µl)" 23.46 1
114 "4-day-old" "isolate C (80 gam/µl)" 23.46 1
115 "4-day-old" "isolate B (36 gam/µl)" 23.47 1
116 "8-day-old" "isolate D (40 gam/µl)" 23.49 1
117 "4-day-old" "isolate A (40 gam/µl)" 23.54 1
118 "4-day-old" "isolate D (40 gam/µl)" 23.54 1
119 "4-day-old" "isolate C (80 gam/µl)" 23.55 1
120 "4-day-old" "isolate C (80 gam/µl)" 23.57 1
121 "12-day-old" "isolate A (40 gam/µl)" 23.61 1
122 "8-day-old" "isolate D (40 gam/µl)" 23.61 1
123 "8-day-old" "isolate D (40 gam/µl)" 23.63 1
124 "12-day-old" "isolate D (40 gam/µl)" 23.71 1
125 "4-day-old" "isolate A (40 gam/µl)" 23.75 1
126 "12-day-old" "isolate D (40 gam/µl)" 23.76 1
127 "8-day-old" "isolate B (36 gam/µl)" 23.79 1
128 "4-day-old" "isolate C (80 gam/µl)" 23.79 1
129 "8-day-old" "isolate D (40 gam/µl)" 23.8 1
130 "4-day-old" "isolate A (40 gam/µl)" 23.85 1
131 "8-day-old" "isolate D (40 gam/µl)" 23.85 1
132 "8-day-old" "isolate B (36 gam/µl)" 23.9 1
133 "12-day-old" "isolate A (40 gam/µl)" 23.91 1
134 "8-day-old" "isolate D (40 gam/µl)" 23.99 1
135 "12-day-old" "isolate A (40 gam/µl)" 24.04 1
136 "4-day-old" "isolate A (40 gam/µl)" 24.04 1
137 "12-day-old" "isolate A (40 gam/µl)" 24.06 1
138 "8-day-old" "isolate A (40 gam/µl)" 24.07 1
139 "12-day-old" "isolate C (80 gam/µl)" 24.09 1
140 "8-day-old" "isolate C (80 gam/µl)" 24.09 1
141 "12-day-old" "isolate D (40 gam/µl)" 24.09 1
142 "8-day-old" "isolate C (80 gam/µl)" 24.1 1
143 "12-day-old" "isolate A (40 gam/µl)" 24.11 1
144 "4-day-old" "isolate A (40 gam/µl)" 24.12 1
145 "4-day-old" "isolate A (40 gam/µl)" 24.12 1
146 "8-day-old" "isolate C (80 gam/µl)" 24.16 1
147 "12-day-old" "isolate A (40 gam/µl)" 24.18 1
148 "4-day-old" "isolate B (36 gam/µl)" 24.19 1
149 "4-day-old" "isolate B (36 gam/µl)" 24.19 1
150 "8-day-old" "isolate D (40 gam/µl)" 24.19 1
151 "4-day-old" "isolate B (36 gam/µl)" 24.21 1
152 "8-day-old" "isolate B (36 gam/µl)" 24.24 1
153 "12-day-old" "isolate A (40 gam/µl)" 24.25 1
154 "8-day-old" "isolate D (40 gam/µl)" 24.27 1
155 "8-day-old" "isolate B (36 gam/µl)" 24.31 1
156 "4-day-old" "isolate D (40 gam/µl)" 24.31 1
157 "8-day-old" "isolate D (40 gam/µl)" 24.32 1
158 "8-day-old" "isolate D (40 gam/µl)" 24.35 1
159 "12-day-old" "isolate D (40 gam/µl)" 24.36 1
160 "12-day-old" "isolate C (80 gam/µl)" 24.44 1
161 "4-day-old" "isolate C (80 gam/µl)" 24.44 1
162 "4-day-old" "isolate C (80 gam/µl)" 24.45 1
163 "8-day-old" "isolate D (40 gam/µl)" 24.45 1
164 "8-day-old" "isolate A (40 gam/µl)" 24.46 1
165 "12-day-old" "isolate A (40 gam/µl)" 24.49 1
166 "4-day-old" "isolate B (36 gam/µl)" 24.5 1
167 "12-day-old" "isolate A (40 gam/µl)" 24.53 1
168 "8-day-old" "isolate D (40 gam/µl)" 24.54 1
169 "8-day-old" "isolate A (40 gam/µl)" 24.55 1
170 "4-day-old" "isolate D (40 gam/µl)" 24.55 1
171 "4-day-old" "isolate C (80 gam/µl)" 24.56 1
172 "12-day-old" "isolate A (40 gam/µl)" 24.57 1
173 "4-day-old" "isolate C (80 gam/µl)" 24.64 1
174 "12-day-old" "isolate C (80 gam/µl)" 24.65 1
175 "12-day-old" "isolate A (40 gam/µl)" 24.74 1
176 "8-day-old" "isolate A (40 gam/µl)" 24.74 1
177 "8-day-old" "isolate C (80 gam/µl)" 24.75 1
178 "12-day-old" "isolate C (80 gam/µl)" 24.79 1
179 "12-day-old" "isolate A (40 gam/µl)" 24.8 1
180 "4-day-old" "isolate B (36 gam/µl)" 24.8 1
181 "8-day-old" "isolate D (40 gam/µl)" 24.82 1
182 "12-day-old" "isolate D (40 gam/µl)" 24.83 1
183 "12-day-old" "isolate A (40 gam/µl)" 24.89 1
184 "4-day-old" "isolate C (80 gam/µl)" 24.92 1
185 "12-day-old" "isolate D (40 gam/µl)" 24.97 1
186 "4-day-old" "isolate B (36 gam/µl)" 24.99 1
187 "8-day-old" "isolate D (40 gam/µl)" 24.99 1
188 "8-day-old" "isolate D (40 gam/µl)" 25 1
189 "4-day-old" "isolate B (36 gam/µl)" 25.02 1
190 "4-day-old" "isolate B (36 gam/µl)" 25.02 1
191 "4-day-old" "isolate A (40 gam/µl)" 25.04 1
192 "12-day-old" "isolate C (80 gam/µl)" 25.04 1
193 "8-day-old" "isolate B (36 gam/µl)" 25.06 1
194 "4-day-old" "isolate A (40 gam/µl)" 25.07 1
195 "12-day-old" "isolate A (40 gam/µl)" 25.08 1
196 "8-day-old" "isolate A (40 gam/µl)" 25.12 1
197 "8-day-old" "isolate D (40 gam/µl)" 25.19 1
198 "4-day-old" "isolate B (36 gam/µl)" 25.2 1
199 "4-day-old" "isolate C (80 gam/µl)" 25.2 1
200 "8-day-old" "isolate D (40 gam/µl)" 25.25 1
201 "4-day-old" "isolate B (36 gam/µl)" 25.26 1
202 "12-day-old" "isolate A (40 gam/µl)" 25.27 1
203 "12-day-old" "isolate A (40 gam/µl)" 25.28 1
204 "12-day-old" "isolate A (40 gam/µl)" 25.29 1
205 "8-day-old" "isolate D (40 gam/µl)" 25.29 1
206 "8-day-old" "isolate D (40 gam/µl)" 25.32 1
207 "8-day-old" "isolate B (36 gam/µl)" 25.33 1
208 "12-day-old" "isolate C (80 gam/µl)" 25.39 1
209 "8-day-old" "isolate D (40 gam/µl)" 25.39 1
210 "12-day-old" "isolate C (80 gam/µl)" 25.4 1
211 "12-day-old" "isolate D (40 gam/µl)" 25.41 1
212 "4-day-old" "isolate A (40 gam/µl)" 25.42 1
213 "4-day-old" "isolate A (40 gam/µl)" 25.42 1
214 "12-day-old" "isolate A (40 gam/µl)" 25.45 1
215 "4-day-old" "isolate D (40 gam/µl)" 25.45 1
216 "8-day-old" "isolate D (40 gam/µl)" 25.48 1
217 "4-day-old" "isolate C (80 gam/µl)" 25.51 1
218 "8-day-old" "isolate D (40 gam/µl)" 25.56 1
219 "8-day-old" "isolate D (40 gam/µl)" 25.62 1
220 "12-day-old" "isolate A (40 gam/µl)" 25.66 1
221 "8-day-old" "isolate B (36 gam/µl)" 25.66 1
222 "4-day-old" "isolate B (36 gam/µl)" 25.74 1
223 "4-day-old" "isolate A (40 gam/µl)" 25.78 1
224 "4-day-old" "isolate B (36 gam/µl)" 25.78 1
225 "8-day-old" "isolate D (40 gam/µl)" 25.79 1
226 "8-day-old" "isolate B (36 gam/µl)" 25.85 1
227 "4-day-old" "isolate C (80 gam/µl)" 25.86 1
228 "4-day-old" "isolate A (40 gam/µl)" 25.89 1
229 "4-day-old" "isolate C (80 gam/µl)" 25.91 1
230 "12-day-old" "isolate B (36 gam/µl)" 25.93 1
231 "12-day-old" "isolate D (40 gam/µl)" 25.93 1
232 "4-day-old" "isolate C (80 gam/µl)" 25.99 1
233 "12-day-old" "isolate A (40 gam/µl)" 26 1
234 "12-day-old" "isolate A (40 gam/µl)" 26.08 1
235 "4-day-old" "isolate D (40 gam/µl)" 26.08 1
236 "12-day-old" "isolate A (40 gam/µl)" 26.1 1
237 "4-day-old" "isolate C (80 gam/µl)" 26.1 1
238 "8-day-old" "isolate D (40 gam/µl)" 26.12 1
239 "4-day-old" "isolate A (40 gam/µl)" 26.16 1
240 "4-day-old" "isolate A (40 gam/µl)" 26.16 1
241 "4-day-old" "isolate A (40 gam/µl)" 26.22 1
242 "4-day-old" "isolate D (40 gam/µl)" 26.26 1
243 "8-day-old" "isolate D (40 gam/µl)" 26.29 1
244 "8-day-old" "isolate D (40 gam/µl)" 26.3 1
245 "4-day-old" "isolate C (80 gam/µl)" 26.3 1
246 "4-day-old" "isolate A (40 gam/µl)" 26.32 1
247 "8-day-old" "isolate D (40 gam/µl)" 26.34 1
248 "8-day-old" "isolate D (40 gam/µl)" 26.36 1
249 "8-day-old" "isolate D (40 gam/µl)" 26.37 1
250 "4-day-old" "isolate A (40 gam/µl)" 26.38 1
251 "8-day-old" "isolate A (40 gam/µl)" 26.4 1
252 "8-day-old" "isolate A (40 gam/µl)" 26.43 1
253 "4-day-old" "isolate A (40 gam/µl)" 26.44 1
254 "4-day-old" "isolate B (36 gam/µl)" 26.48 1
255 "12-day-old" "isolate C (80 gam/µl)" 26.5 1
256 "4-day-old" "isolate A (40 gam/µl)" 26.51 1
257 "4-day-old" "isolate A (40 gam/µl)" 26.52 1
258 "8-day-old" "isolate D (40 gam/µl)" 26.52 1
259 "8-day-old" "isolate D (40 gam/µl)" 26.54 1
260 "12-day-old" "isolate A (40 gam/µl)" 26.6 1
261 "4-day-old" "isolate B (36 gam/µl)" 26.6 1
262 "4-day-old" "isolate C (80 gam/µl)" 26.6 1
263 "8-day-old" "isolate C (80 gam/µl)" 26.61 1
264 "4-day-old" "isolate A (40 gam/µl)" 26.67 1
265 "12-day-old" "isolate A (40 gam/µl)" 26.72 1
266 "12-day-old" "isolate B (36 gam/µl)" 26.73 1
267 "8-day-old" "isolate D (40 gam/µl)" 26.76 1
268 "8-day-old" "isolate A (40 gam/µl)" 26.78 1
269 "8-day-old" "isolate D (40 gam/µl)" 26.8 1
270 "4-day-old" "isolate A (40 gam/µl)" 26.83 1
271 "12-day-old" "isolate C (80 gam/µl)" 26.84 1
272 "4-day-old" "isolate C (80 gam/µl)" 26.84 1
273 "8-day-old" "isolate D (40 gam/µl)" 26.85 1
274 "8-day-old" "isolate D (40 gam/µl)" 26.88 1
275 "4-day-old" "isolate A (40 gam/µl)" 26.95 1
276 "4-day-old" "isolate D (40 gam/µl)" 26.96 1
277 "12-day-old" "isolate D (40 gam/µl)" 26.97 1
278 "4-day-old" "isolate B (36 gam/µl)" 27 1
279 "12-day-old" "isolate C (80 gam/µl)" 27 1
280 "4-day-old" "isolate A (40 gam/µl)" 27.02 1
281 "12-day-old" "isolate A (40 gam/µl)" 27.03 1
282 "8-day-old" "isolate C (80 gam/µl)" 27.06 1
283 "4-day-old" "isolate C (80 gam/µl)" 27.06 1
284 "8-day-old" "isolate A (40 gam/µl)" 27.15 1
285 "4-day-old" "isolate A (40 gam/µl)" 27.15 1
286 "4-day-old" "isolate B (36 gam/µl)" 27.15 1
287 "4-day-old" "isolate C (80 gam/µl)" 27.16 1
288 "4-day-old" "isolate A (40 gam/µl)" 27.18 1
289 "4-day-old" "isolate C (80 gam/µl)" 27.18 1
290 "8-day-old" "isolate B (36 gam/µl)" 27.21 1
291 "4-day-old" "isolate C (80 gam/µl)" 27.26 1
292 "8-day-old" "isolate D (40 gam/µl)" 27.28 1
293 "4-day-old" "isolate A (40 gam/µl)" 27.29 1
294 "8-day-old" "isolate B (36 gam/µl)" 27.33 1
295 "12-day-old" "isolate C (80 gam/µl)" 27.34 1
296 "12-day-old" "isolate A (40 gam/µl)" 27.37 1
297 "4-day-old" "isolate A (40 gam/µl)" 27.37 1
298 "12-day-old" "isolate B (36 gam/µl)" 27.38 1
299 "8-day-old" "isolate B (36 gam/µl)" 27.38 1
300 "12-day-old" "isolate C (80 gam/µl)" 27.4 1
301 "8-day-old" "isolate D (40 gam/µl)" 27.4 1
302 "4-day-old" "isolate C (80 gam/µl)" 27.43 1
303 "8-day-old" "isolate A (40 gam/µl)" 27.49 1
304 "4-day-old" "isolate C (80 gam/µl)" 27.51 1
305 "8-day-old" "isolate A (40 gam/µl)" 27.56 1
306 "8-day-old" "isolate D (40 gam/µl)" 27.57 1
307 "4-day-old" "isolate D (40 gam/µl)" 27.65 1
308 "4-day-old" "isolate B (36 gam/µl)" 27.66 1
309 "12-day-old" "isolate A (40 gam/µl)" 27.72 1
310 "12-day-old" "isolate B (36 gam/µl)" 27.72 1
311 "4-day-old" "isolate D (40 gam/µl)" 27.72 1
312 "8-day-old" "isolate D (40 gam/µl)" 27.77 1
313 "12-day-old" "isolate A (40 gam/µl)" 27.79 1
314 "4-day-old" "isolate B (36 gam/µl)" 27.79 1
315 "12-day-old" "isolate D (40 gam/µl)" 27.79 1
316 "8-day-old" "isolate C (80 gam/µl)" 27.85 1
317 "4-day-old" "isolate D (40 gam/µl)" 27.86 1
318 "8-day-old" "isolate B (36 gam/µl)" 27.87 1
319 "4-day-old" "isolate B (36 gam/µl)" 27.9 1
320 "8-day-old" "isolate C (80 gam/µl)" 27.92 1
321 "4-day-old" "isolate A (40 gam/µl)" 27.93 1
322 "8-day-old" "isolate D (40 gam/µl)" 27.94 1
323 "4-day-old" "isolate A (40 gam/µl)" 27.97 1
324 "4-day-old" "isolate D (40 gam/µl)" 27.97 1
325 "4-day-old" "isolate C (80 gam/µl)" 28.01 1
326 "4-day-old" "isolate B (36 gam/µl)" 28.04 1
327 "8-day-old" "isolate C (80 gam/µl)" 28.04 1
328 "12-day-old" "isolate A (40 gam/µl)" 28.05 1
329 "4-day-old" "isolate D (40 gam/µl)" 28.06 1
330 "8-day-old" "isolate D (40 gam/µl)" 28.08 1
331 "8-day-old" "isolate D (40 gam/µl)" 28.09 1
332 "12-day-old" "isolate D (40 gam/µl)" 28.11 1
333 "4-day-old" "isolate A (40 gam/µl)" 28.12 1
334 "12-day-old" "isolate B (36 gam/µl)" 28.12 1
335 "8-day-old" "isolate C (80 gam/µl)" 28.15 1
336 "4-day-old" "isolate A (40 gam/µl)" 28.18 1
337 "8-day-old" "isolate C (80 gam/µl)" 28.18 1
338 "8-day-old" "isolate D (40 gam/µl)" 28.18 1
339 "4-day-old" "isolate A (40 gam/µl)" 28.19 1
340 "8-day-old" "isolate D (40 gam/µl)" 28.19 1
341 "4-day-old" "isolate C (80 gam/µl)" 28.22 1
342 "4-day-old" "isolate A (40 gam/µl)" 28.23 1
343 "4-day-old" "isolate C (80 gam/µl)" 28.23 1
344 "12-day-old" "isolate A (40 gam/µl)" 28.26 1
345 "12-day-old" "isolate A (40 gam/µl)" 28.27 1
346 "4-day-old" "isolate B (36 gam/µl)" 28.35 1
347 "12-day-old" "isolate D (40 gam/µl)" 28.37 1
348 "8-day-old" "isolate B (36 gam/µl)" 28.4 1
349 "8-day-old" "isolate A (40 gam/µl)" 28.43 0
350 "4-day-old" "isolate A (40 gam/µl)" 28.49 1
351 "8-day-old" "isolate B (36 gam/µl)" 28.51 1
352 "8-day-old" "isolate C (80 gam/µl)" 28.51 1
353 "8-day-old" "isolate D (40 gam/µl)" 28.66 1
354 "4-day-old" "isolate B (36 gam/µl)" 28.67 1
355 "8-day-old" "isolate A (40 gam/µl)" 28.71 1
356 "4-day-old" "isolate C (80 gam/µl)" 28.72 1
357 "4-day-old" "isolate B (36 gam/µl)" 28.76 1
358 "12-day-old" "isolate C (80 gam/µl)" 28.76 1
359 "4-day-old" "isolate D (40 gam/µl)" 28.76 1
360 "4-day-old" "isolate D (40 gam/µl)" 28.76 1
361 "8-day-old" "isolate D (40 gam/µl)" 28.77 1
362 "4-day-old" "isolate A (40 gam/µl)" 28.78 1
363 "4-day-old" "isolate A (40 gam/µl)" 28.88 1
364 "12-day-old" "isolate B (36 gam/µl)" 28.96 1
365 "4-day-old" "isolate D (40 gam/µl)" 29.06 1
366 "4-day-old" "isolate B (36 gam/µl)" 29.1 1
367 "4-day-old" "isolate D (40 gam/µl)" 29.1 1
368 "12-day-old" "isolate D (40 gam/µl)" 29.15 1
369 "4-day-old" "isolate B (36 gam/µl)" 29.19 1
370 "12-day-old" "isolate D (40 gam/µl)" 29.27 1
371 "8-day-old" "isolate D (40 gam/µl)" 29.33 1
372 "4-day-old" "isolate B (36 gam/µl)" 29.37 1
373 "8-day-old" "isolate A (40 gam/µl)" 29.43 1
374 "4-day-old" "isolate C (80 gam/µl)" 29.44 1
375 "12-day-old" "isolate A (40 gam/µl)" 29.47 1
376 "4-day-old" "isolate D (40 gam/µl)" 29.51 1
377 "12-day-old" "isolate C (80 gam/µl)" 29.6 1
378 "8-day-old" "isolate D (40 gam/µl)" 29.64 1
379 "4-day-old" "isolate A (40 gam/µl)" 29.68 1
380 "4-day-old" "isolate A (40 gam/µl)" 29.69 1
381 "4-day-old" "isolate A (40 gam/µl)" 29.7 1
382 "12-day-old" "isolate C (80 gam/µl)" 29.7 1
383 "4-day-old" "isolate A (40 gam/µl)" 29.75 1
384 "4-day-old" "isolate D (40 gam/µl)" 29.85 1
385 "4-day-old" "isolate A (40 gam/µl)" 29.89 1
386 "4-day-old" "isolate A (40 gam/µl)" 29.94 1
387 "8-day-old" "isolate D (40 gam/µl)" 30 1
388 "12-day-old" "isolate B (36 gam/µl)" 30.01 1
389 "4-day-old" "isolate B (36 gam/µl)" 30.05 1
390 "4-day-old" "isolate B (36 gam/µl)" 30.09 1
391 "12-day-old" "isolate B (36 gam/µl)" 30.1 1
392 "8-day-old" "isolate B (36 gam/µl)" 30.14 1
393 "4-day-old" "isolate C (80 gam/µl)" 30.2 1
394 "4-day-old" "isolate D (40 gam/µl)" 30.21 1
395 "4-day-old" "isolate A (40 gam/µl)" 30.23 1
396 "12-day-old" "isolate B (36 gam/µl)" 30.34 1
397 "8-day-old" "isolate B (36 gam/µl)" 30.34 1
398 "12-day-old" "isolate D (40 gam/µl)" 30.37 1
399 "8-day-old" "isolate A (40 gam/µl)" 30.38 1
400 "4-day-old" "isolate B (36 gam/µl)" 30.42 1
401 "8-day-old" "isolate D (40 gam/µl)" 30.45 1
402 "12-day-old" "isolate B (36 gam/µl)" 30.51 1
403 "12-day-old" "isolate C (80 gam/µl)" 30.54 1
404 "4-day-old" "isolate D (40 gam/µl)" 30.55 1
405 "8-day-old" "isolate D (40 gam/µl)" 30.58 1
406 "4-day-old" "isolate B (36 gam/µl)" 30.62 1
407 "12-day-old" "isolate D (40 gam/µl)" 30.62 1
408 "8-day-old" "isolate C (80 gam/µl)" 30.64 1
409 "4-day-old" "isolate B (36 gam/µl)" 30.67 1
410 "8-day-old" "isolate D (40 gam/µl)" 30.71 1
411 "8-day-old" "isolate D (40 gam/µl)" 30.72 1
412 "8-day-old" "isolate C (80 gam/µl)" 30.73 1
413 "4-day-old" "isolate B (36 gam/µl)" 30.8 1
414 "8-day-old" "isolate A (40 gam/µl)" 30.9 1
415 "4-day-old" "isolate D (40 gam/µl)" 30.98 1
416 "12-day-old" "isolate D (40 gam/µl)" 31.03 1
417 "4-day-old" "isolate D (40 gam/µl)" 31.07 1
418 "12-day-old" "isolate A (40 gam/µl)" 31.12 1
419 "8-day-old" "isolate C (80 gam/µl)" 31.19 1
420 "8-day-old" "isolate A (40 gam/µl)" 31.2 1
421 "12-day-old" "isolate B (36 gam/µl)" 31.26 1
422 "4-day-old" "isolate D (40 gam/µl)" 31.28 1
423 "8-day-old" "isolate A (40 gam/µl)" 31.35 1
424 "4-day-old" "isolate B (36 gam/µl)" 31.36 1
425 "8-day-old" "isolate D (40 gam/µl)" 31.45 1
426 "8-day-old" "isolate B (36 gam/µl)" 31.47 1
427 "4-day-old" "isolate D (40 gam/µl)" 31.47 1
428 "8-day-old" "isolate D (40 gam/µl)" 31.53 1
429 "12-day-old" "isolate C (80 gam/µl)" 31.57 1
430 "8-day-old" "isolate B (36 gam/µl)" 31.69 1
431 "4-day-old" "isolate B (36 gam/µl)" 31.73 1
432 "4-day-old" "isolate D (40 gam/µl)" 31.73 1
433 "4-day-old" "isolate A (40 gam/µl)" 31.77 1
434 "8-day-old" "isolate D (40 gam/µl)" 31.78 1
435 "8-day-old" "isolate B (36 gam/µl)" 31.81 1
436 "12-day-old" "isolate A (40 gam/µl)" 31.83 1
437 "4-day-old" "isolate D (40 gam/µl)" 31.85 1
438 "8-day-old" "isolate D (40 gam/µl)" 31.9 0
439 "12-day-old" "isolate D (40 gam/µl)" 31.97 1
440 "8-day-old" "isolate B (36 gam/µl)" 32.01 1
441 "4-day-old" "isolate B (36 gam/µl)" 32.03 1
442 "8-day-old" "isolate D (40 gam/µl)" 32.03 1
443 "12-day-old" "isolate B (36 gam/µl)" 32.05 1
444 "8-day-old" "isolate B (36 gam/µl)" 32.1 1
445 "4-day-old" "isolate A (40 gam/µl)" 32.1 1
446 "8-day-old" "isolate A (40 gam/µl)" 32.16 1
447 "4-day-old" "isolate D (40 gam/µl)" 32.19 1
448 "12-day-old" "isolate C (80 gam/µl)" 32.36 1
449 "8-day-old" "isolate B (36 gam/µl)" 32.37 1
450 "4-day-old" "isolate D (40 gam/µl)" 32.4 1
