"mosquito_id" "age_class" "isolate" "oocyst"
148 "4-day-old" "isolate A (40 gam/µl)" 0
149 "4-day-old" "isolate A (40 gam/µl)" 7
150 "4-day-old" "isolate A (40 gam/µl)" 0
151 "4-day-old" "isolate A (40 gam/µl)" 0
152 "4-day-old" "isolate A (40 gam/µl)" 2
153 "12-day-old" "isolate B (36 gam/µl)" 0
154 "12-day-old" "isolate B (36 gam/µl)" 2
155 "12-day-old" "isolate B (36 gam/µl)" 0
156 "12-day-old" "isolate B (36 gam/µl)" 0
157 "12-day-old" "isolate B (36 gam/µl)" 1
158 "12-day-old" "isolate B (36 gam/µl)" 3
159 "12-day-old" "isolate B (36 gam/µl)" 1
160 "12-day-old" "isolate B (36 gam/µl)" 0
161 "12-day-old" "isolate B (36 gam/µl)" 0
162 "12-day-old" "isolate B (36 gam/µl)" 7
163 "12-day-old" "isolate B (36 gam/µl)" 0
164 "12-day-old" "isolate B (36 gam/µl)" 0
165 "12-day-old" "isolate B (36 gam/µl)" 0
166 "12-day-old" "isolate B (36 gam/µl)" 3
167 "12-day-old" "isolate B (36 gam/µl)" 0
168 "12-day-old" "isolate B (36 gam/µl)" 0
169 "12-day-old" "isolate B (36 gam/µl)" 0
170 "12-day-old" "isolate B (36 gam/µl)" 4
171 "12-day-old" "isolate B (36 gam/µl)" 0
172 "12-day-old" "isolate B (36 gam/µl)" 0
173 "12-day-old" "isolate B (36 gam/µl)" 1
174 "12-day-old" "isolate B (36 gam/µl)" 1
175 "12-day-old" "isolate B (36 gam/µl)" 1
176 "12-day-old" "isolate B (36 gam/µl)" 0
177 "12-day-old" "isolate B (36 gam/µl)" 0
178 "12-day-old" "isolate B (36 gam/µl)" 4
179 "12-day-old" "isolate B (36 gam/µl)" 9
180 "12-day-old" "isolate B (36 gam/µl)" 2
181 "12-day-old" "isolate B (36 gam/µl)" 0
182 "12-day-old" "isolate B (36 gam/µl)" 0
183 "12-day-old" "isolate B (36 gam/µl)" 0
184 "12-day-old" "isolate B (36 gam/µl)" 0
185 "12-day-old" "isolate B (36 gam/µl)" 0
186 "12-day-old" "isolate B (36 gam/µl)" 0
187 "12-day-old" "isolate B (36 gam/µl)" 0
188 "12-day-old" "isolate B (36 gam/µl)" 0
189 "12-day-old" "isolate B (36 gam/µl)" 0
190 "12-day-old" "isolate B (36 gam/µl)" 3
191 "12-day-old" "isolate B (36 gam/µl)" 3
192 "12-day-old" "isolate B (36 gam/µl)" 2
193 "12-day-old" "isolate B (36 gam/µl)" 0
194 "12-day-old" "isolate B (36 gam/µl)" 0
195 "12-day-old" "isolate B (36 gam/µl)" 1
196 "12-day-old" "isolate B (36 gam/µl)" 1
197 "12-day-old" "isolate B (36 gam/µl)" 2
198 "12-day-old" "isolate B (36 gam/µl)" 4
199 "12-day-old" "isolate B (36 gam/µl)" 1
200 "12-day-old" "isolate B (36 gam/µl)" 0
201 "12-day-old" "isolate B (36 gam/µl)" 0
202 "12-day-old" "isolate B (36 gam/µl)" 0
203 "12-day-old" "isolate B (36 gam/µl)" 0
204 "12-day-old" "isolate B (36 gam/µl)" 2
205 "8-day-old" "isolate B (36 gam/µl)" 3
206 "8-day-old" "isolate B (36 gam/µl)" 0
207 "8-day-old" "isolate B (36 gam/µl)" 0
208 "8-day-old" "isolate B (36 gam/µl)" 5
209 "8-day-old" "isolate B (36 gam/µl)" 1
210 "8-day-old" "isolate B (36 gam/µl)" 0
211 "8-day-old" "isolate B (36 gam/µl)" 0
212 "8-day-old" "isolate B (36 gam/µl)" 0
213 "8-day-old" "isolate B (36 gam/µl)" 8
214 "8-day-old" "isolate B (36 gam/µl)" 0
215 "8-day-old" "isolate B (36 gam/µl)" 0
216 "8-day-old" "isolate B (36 gam/µl)" 0
217 "8-day-old" "isolate B (36 gam/µl)" 12
218 "8-day-old" "isolate B (36 gam/µl)" 2
219 "8-day-old" "isolate B (36 gam/µl)" 1
220 "8-day-old" "isolate B (36 gam/µl)" 1
221 "8-day-old" "isolate B (36 gam/µl)" 2
222 "8-day-old" "isolate B (36 gam/µl)" 0
223 "8-day-old" "isolate B (36 gam/µl)" 12
224 "8-day-old" "isolate B (36 gam/µl)" 0
225 "8-day-old" "isolate B (36 gam/µl)" 0
226 "8-day-old" "isolate B (36 gam/µl)" 4
227 "8-day-old" "isolate B (36 gam/µl)" 9
228 "8-day-old" "isolate B (36 gam/µl)" 0
229 "8-day-old" "isolate B (36 gam/µl)" 0
230 "8-day-old" "isolate B (36 gam/µl)" 0
231 "8-day-old" "isolate B (36 gam/µl)" 0
232 "8-day-old" "isolate B (36 gam/µl)" 0
233 "8-day-old" "isolate B (36 gam/µl)" 0
234 "8-day-old" "isolate B (36 gam/µl)" 0
235 "8-day-old" "isolate B (36 gam/µl)" 0
236 "8-day-old" "isolate B (36 gam/µl)" 1
237 "8-day-old" "isolate B (36 gam/µl)" 0
238 "8-day-old" "isolate B (36 gam/µl)" 0
239 "8-day-old" "isolate B (36 gam/µl)" 10
240 "8-day-old" "isolate B (36 gam/µl)" 0
241 "8-day-old" "isolate B (36 gam/µl)" 0
242 "8-day-old" "isolate B (36 gam/µl)" 1
243 "8-day-old" "isolate B (36 gam/µl)" 1
244 "8-day-old" "isolate B (36 gam/µl)" 6
245 "8-day-old" "isolate B (36 gam/µl)" 5
246 "8-day-old" "isolate B (36 gam/µl)" 0
247 "8-day-old" "isolate B (36 gam/µl)" 0
248 "8-day-old" "isolate B (36 gam/µl)" 4
249 "8-day-old" "isolate B (36 gam/µl)" 1
250 "8-day-old" "isolate B (36 gam/µl)" 0
251 "8-day-old" "isolate B (36 gam/µl)" 1
252 "8-day-old" "isolate B (36 gam/µl)" 0
253 "8-day-old" "isolate B (36 gam/µl)" 0
254 "8-day-old" "isolate B (36 gam/µl)" 0
255 "8-day-old" "isolate B (36 gam/µl)" 0
256 "4-day-old" "isolate B (36 gam/µl)" 0
257 "4-day-old" "isolate B (36 gam/µl)" 4
258 "4-day-old" "isolate B (36 gam/µl)" 0
259 "4-day-old" "isolate B (36 gam/µl)" 6
260 "4-day-old" "isolate B (36 gam/µl)" 2
261 "4-day-old" "isolate B (36 gam/µl)" 0
262 "4-day-old" "isolate B (36 gam/µl)" 1
263 "4-day-old" "isolate B (36 gam/µl)" 8
264 "4-day-old" "isolate B (36 gam/µl)" 0
265 "4-day-old" "isolate B (36 gam/µl)" 2
266 "4-day-old" "isolate B (36 gam/µl)" 2
267 "4-day-old" "isolate B (36 gam/µl)" 4
268 "4-day-old" "isolate B (36 gam/µl)" 0
269 "4-day-old" "isolate B (36 gam/µl)" 4
270 "4-day-old" "isolate B (36 gam/µl)" 5
271 "4-day-old" "isolate B (36 gam/µl)" 0
272 "4-day-old" "isolate B (36 gam/µl)" 0
273 "4-day-old" "isolate B (36 gam/µl)" 0
274 "4-day-old" "isolate B (36 gam/µl)" 0
275 "4-day-old" "isolate B (36 gam/µl)" 0
276 "4-day-old" "isolate B (36 gam/µl)" 0
277 "4-day-old" "isolate B (36 gam/µl)" 2
278 "4-day-old" "isolate B (36 gam/µl)" 0
279 "4-day-old" "isolate B (36 gam/µl)" 0
280 "4-day-old" "isolate B (36 gam/µl)" 3
281 "4-day-old" "isolate B (36 gam/µl)" 0
282 "4-day-old" "isolate B (36 gam/µl)" 2
283 "4-day-old" "isolate B (36 gam/µl)" 0
284 "4-day-old" "isolate B (36 gam/µl)" 0
285 "4-day-old" "isolate B (36 gam/µl)" 0
286 "4-day-old" "isolate B (36 gam/µl)" 1
287 "4-day-old" "isolate B (36 gam/µl)" 0
288 "4-day-old" "isolate B (36 gam/µl)" 0
289 "4-day-old" "isolate B (36 gam/µl)" 1
290 "4-day-old" "isolate B (36 gam/µl)" 0
291 "4-day-old" "isolate B (36 gam/µl)" 4
292 "4-day-old" "isolate B (36 gam/µl)" 3
293 "4-day-old" "isolate B (36 gam/µl)" 5
294 "4-day-old" "isolate B (36 gam/µl)" 0
295 "4-day-old" "isolate B (36 gam/µl)" 0
296 "4-day-old" "isolate B (36 gam/µl)" 1
297 "4-day-old" "isolate B (36 gam/µl)" 4
298 "4-day-old" "isolate B (36 gam/µl)" 4
299 "4-day-old" "isolate B (36 gam/µl)" 0
300 "4-day-old" "isolate B (36 gam/µl)" 0
301 "4-day-old" "isolate B (36 gam/µl)" 0
302 "4-day-old" "isolate B (36 gam/µl)" 1
303 "4-day-old" "isolate B (36 gam/µl)" 6
304 "4-day-old" "isolate B (36 gam/µl)" 5
305 "4-day-old" "isolate B (36 gam/µl)" 0
306 "12-day-old" "isolate C (80 gam/µl)" 0
307 "12-day-old" "isolate C (80 gam/µl)" 2
308 "12-day-old" "isolate C (80 gam/µl)" 0
309 "12-day-old" "isolate C (80 gam/µl)" 0
310 "12-day-old" "isolate C (80 gam/µl)" 3
311 "12-day-old" "isolate C (80 gam/µl)" 0
312 "12-day-old" "isolate C (80 gam/µl)" 2
313 "12-day-old" "isolate C (80 gam/µl)" 0
314 "12-day-old" "isolate C (80 gam/µl)" 0
315 "12-day-old" "isolate C (80 gam/µl)" 4
316 "12-day-old" "isolate C (80 gam/µl)" 0
317 "12-day-old" "isolate C (80 gam/µl)" 2
318 "12-day-old" "isolate C (80 gam/µl)" 0
319 "12-day-old" "isolate C (80 gam/µl)" 0
320 "12-day-old" "isolate C (80 gam/µl)" 6
321 "12-day-old" "isolate C (80 gam/µl)" 0
322 "12-day-old" "isolate C (80 gam/µl)" 0
323 "12-day-old" "isolate C (80 gam/µl)" 3
324 "12-day-old" "isolate C (80 gam/µl)" 0
325 "12-day-old" "isolate C (80 gam/µl)" 0
326 "12-day-old" "isolate C (80 gam/µl)" 0
327 "12-day-old" "isolate C (80 gam/µl)" 6
328 "12-day-old" "isolate C (80 gam/µl)" 1
329 "12-day-old" "isolate C (80 gam/µl)" 0
330 "12-day-old" "isolate C (80 gam/µl)" 2
331 "12-day-old" "isolate C (80 gam/µl)" 3
332 "12-day-old" "isolate C (80 gam/µl)" 0
333 "12-day-old" "isolate C (80 gam/µl)" 0
334 "12-day-old" "isolate C (80 gam/µl)" 2
335 "12-day-old" "isolate C (80 gam/µl)" 3
336 "12-day-old" "isolate C (80 gam/µl)" 1
337 "12-day-old" "isolate C (80 gam/µl)" 2
338 "12-day-old" "isolate C (80 gam/µl)" 0
339 "12-day-old" "isolate C (80 gam/µl)" 0
340 "12-day-old" "isolate C (80 gam/µl)" 2
341 "12-day-old" "isolate C (80 gam/µl)" 2
342 "12-day-old" "isolate C (80 gam/µl)" 2
343 "12-day-old" "isolate C (80 gam/µl)" 0
344 "12-day-old" "isolate C (80 gam/µl)" 0
345 "12-day-old" "isolate C (80 gam/µl)" 3
346 "12-day-old" "isolate C (80 gam/µl)" 1
347 "12-day-old" "isolate C (80 gam/µl)" 0
348 "12-day-old" "isolate C (80 gam/µl)" 0
349 "12-day-old" "isolate C (80 gam/µl)" 0
350 "12-day-old" "isolate C (80 gam/µl)" 0
351 "12-day-old" "isolate C (80 gam/µl)" 4
352 "12-day-old" "isolate C (80 gam/µl)" 0
353 "12-day-old" "isolate C (80 gam/µl)" 0
354 "12-day-old" "isolate C (80 gam/µl)" 0
355 "12-day-old" "isolate C (80 gam/µl)" 0
356 "8-day-old" "isolate C (80 gam/µl)" 4
357 "8-day-old" "isolate C (80 gam/µl)" 0
358 "8-day-old" "isolate C (80 gam/µl)" 4
359 "8-day-old" "isolate C (80 gam/µl)" 4
360 "8-day-old" "isolate C (80 gam/µl)" 2
361 "8-day-old" "isolate C (80 gam/µl)" 6
362 "8-day-old" "isolate C (80 gam/µl)" 5
363 "8-day-old" "isolate C (80 gam/µl)" 0
364 "8-day-old" "isolate C (80 gam/µl)" 1
365 "8-day-old" "isolate C (80 gam/µl)" 0
366 "8-day-old" "isolate C (80 gam/µl)" 4
367 "8-day-old" "isolate C (80 gam/µl)" 0
368 "8-day-old" "isolate C (80 gam/µl)" 0
369 "8-day-old" "isolate C (80 gam/µl)" 0
370 "8-day-old" "isolate C (80 gam/µl)" 0
371 "8-day-old" "isolate C (80 gam/µl)" 6
372 "8-day-old" "isolate C (80 gam/µl)" 0
373 "8-day-old" "isolate C (80 gam/µl)" 0
374 "8-day-old" "isolate C (80 gam/µl)" 0
375 "8-day-old" "isolate C (80 gam/µl)" 1
376 "8-day-old" "isolate C (80 gam/µl)" 0
377 "8-day-old" "isolate C (80 gam/µl)" 1
378 "8-day-old" "isolate C (80 gam/µl)" 1
379 "8-day-old" "isolate C (80 gam/µl)" 0
380 "8-day-old" "isolate C (80 gam/µl)" 0
381 "8-day-old" "isolate C (80 gam/µl)" 1
382 "8-day-old" "isolate C (80 gam/µl)" 3
383 "8-day-old" "isolate C (80 gam/µl)" 3
384 "8-day-old" "isolate C (80 gam/µl)" 2
385 "8-day-old" "isolate C (80 gam/µl)" 0
386 "8-day-old" "isolate C (80 gam/µl)" 0
387 "8-day-old" "isolate C (80 gam/µl)" 0
388 "8-day-old" "isolate C (80 gam/µl)" 1
389 "8-day-old" "isolate C (80 gam/µl)" 1
390 "8-day-old" "isolate C (80 gam/µl)" 0
391 "8-day-old" "isolate C (80 gam/µl)" 0
392 "8-day-old" "isolate C (80 gam/µl)" 0
393 "8-day-old" "isolate C (80 gam/µl)" 2
394 "8-day-old" "isolate C (80 gam/µl)" 2
395 "8-day-old" "isolate C (80 gam/µl)" 4
396 "8-day-old" "isolate C (80 gam/µl)" 0
397 "8-day-old" "isolate C (80 gam/µl)" 2
398 "8-day-old" "isolate C (80 gam/µl)" 2
399 "8-day-old" "isolate C (80 gam/µl)" 1
400 "8-day-old" "isolate C (80 gam/µl)" 1
401 "8-day-old" "isolate C (80 gam/µl)" 0
402 "8-day-old" "isolate C (80 gam/µl)" 0
403 "8-day-old" "isolate C (80 gam/µl)" 0
404 "8-day-old" "isolate C (80 gam/µl)" 4
405 "8-day-old" "isolate C (80 gam/µl)" 0
406 "8-day-old" "isolate C (80 gam/µl)" 0
407 "4-day-old" "isolate C (80 gam/µl)" 5
408 "4-day-old" "isolate C (80 gam/µl)" 6
409 "4-day-old" "isolate C (80 gam/µl)" 3
410 "4-day-old" "isolate C (80 gam/µl)" 1
411 "4-day-old" "isolate C (80 gam/µl)" 0
412 "4-day-old" "isolate C (80 gam/µl)" 0
413 "4-day-old" "isolate C (80 gam/µl)" 3
414 "4-day-old" "isolate C (80 gam/µl)" 6
415 "4-day-old" "isolate C (80 gam/µl)" 4
416 "4-day-old" "isolate C (80 gam/µl)" 0
417 "4-day-old" "isolate C (80 gam/µl)" 8
418 "4-day-old" "isolate C (80 gam/µl)" 0
419 "4-day-old" "isolate C (80 gam/µl)" 0
420 "4-day-old" "isolate C (80 gam/µl)" 0
421 "4-day-old" "isolate C (80 gam/µl)" 1
422 "4-day-old" "isolate C (80 gam/µl)" 0
423 "4-day-old" "isolate C (80 gam/µl)" 0
424 "4-day-old" "isolate C (80 gam/µl)" 8
425 "4-day-old" "isolate C (80 gam/µl)" 0
426 "4-day-old" "isolate C (80 gam/µl)" 0
427 "4-day-old" "isolate C (80 gam/µl)" 4
428 "4-day-old" "isolate C (80 gam/µl)" 0
429 "4-day-old" "isolate C (80 gam/µl)" 0
430 "4-day-old" "isolate C (80 gam/µl)" 1
431 "4-day-old" "isolate C (80 gam/µl)" 0
432 "4-day-old" "isolate C (80 gam/µl)" 0
433 "4-day-old" "isolate C (80 gam/µl)" 4
434 "4-day-old" "isolate C (80 gam/µl)" 0
435 "4-day-old" "isolate C (80 gam/µl)" 0
436 "4-day-old" "isolate C (80 gam/µl)" 0
437 "4-day-old" "isolate C (80 gam/µl)" 10
438 "4-day-old" "isolate C (80 gam/µl)" 0
439 "4-day-old" "isolate C (80 gam/µl)" 5
440 "4-day-old" "isolate C (80 gam/µl)" 7
441 "4-day-old" "isolate C (80 gam/µl)" 0
442 "4-day-old" "isolate C (80 gam/µl)" 3
443 "4-day-old" "isolate C (80 gam/µl)" 4
444 "4-day-old" "isolate C (80 gam/µl)" 3
445 "4-day-old" "isolate C (80 gam/µl)" 0
446 "4-day-old" "isolate C (80 gam/µl)" 2
447 "4-day-old" "isolate C (80 gam/µl)" 5
448 "4-day-old" "isolate C (80 gam/µl)" 5
449 "4-day-old" "isolate C (80 gam/µl)" 3
450 "4-day-old" "isolate C (80 gam/µl)" 5
451 "4-day-old" "isolate C (80 gam/µl)" 2
452 "4-day-old" "isolate C (80 gam/µl)" 0
453 "4-day-old" "isolate C (80 gam/µl)" 7
454 "4-day-old" "isolate C (80 gam/µl)" 4
455 "4-day-old" "isolate C (80 gam/µl)" 1
456 "4-day-old" "isolate C (80 gam/µl)" 0
457 "4-day-old" "isolate C (80 gam/µl)" 0
458 "12-day-old" "isolate D (40 gam/µl)" 2
459 "12-day-old" "isolate D (40 gam/µl)" 0
460 "12-day-old" "isolate D (40 gam/µl)" 0
461 "12-day-old" "isolate D (40 gam/µl)" 0
462 "12-day-old" "isolate D (40 gam/µl)" 0
463 "12-day-old" "isolate D (40 gam/µl)" 7
464 "12-day-old" "isolate D (40 gam/µl)" 1
465 "12-day-old" "isolate D (40 gam/µl)" 5
466 "12-day-old" "isolate D (40 gam/µl)" 0
467 "12-day-old" "isolate D (40 gam/µl)" 0
468 "12-day-old" "isolate D (40 gam/µl)" 0
469 "12-day-old" "isolate D (40 gam/µl)" 3
470 "12-day-old" "isolate D (40 gam/µl)" 0
471 "12-day-old" "isolate D (40 gam/µl)" 4
472 "12-day-old" "isolate D (40 gam/µl)" 2
473 "12-day-old" "isolate D (40 gam/µl)" 1
474 "12-day-old" "isolate D (40 gam/µl)" 0
475 "12-day-old" "isolate D (40 gam/µl)" 0
476 "12-day-old" "isolate D (40 gam/µl)" 0
477 "12-day-old" "isolate D (40 gam/µl)" 0
478 "12-day-old" "isolate D (40 gam/µl)" 0
479 "12-day-old" "isolate D (40 gam/µl)" 1
480 "12-day-old" "isolate D (40 gam/µl)" 1
481 "12-day-old" "isolate D (40 gam/µl)" 0
482 "12-day-old" "isolate D (40 gam/µl)" 0
483 "12-day-old" "isolate D (40 gam/µl)" 1
484 "12-day-old" "isolate D (40 gam/µl)" 0
485 "12-day-old" "isolate D (40 gam/µl)" 2
486 "12-day-old" "isolate D (40 gam/µl)" 0
487 "12-day-old" "isolate D (40 gam/µl)" 0
488 "12-day-old" "isolate D (40 gam/µl)" 5
489 "12-day-old" "isolate D (40 gam/µl)" 4
490 "12-day-old" "isolate D (40 gam/µl)" 0
491 "12-day-old" "isolate D (40 gam/µl)" 13
492 "12-day-old" "isolate D (40 gam/µl)" 2
493 "12-day-old" "isolate D (40 gam/µl)" 0
494 "12-day-old" "isolate D (40 gam/µl)" 1
495 "12-day-old" "isolate D (40 gam/µl)" 0
496 "12-day-old" "isolate D (40 gam/µl)" 1
497 "12-day-old" "isolate D (40 gam/µl)" 4
498 "12-day-old" "isolate D (40 gam/µl)" 0
499 "12-day-old" "isolate D (40 gam/µl)" 0
500 "12-day-old" "isolate D (40 gam/µl)" 6
501 "12-day-old" "isolate D (40 gam/µl)" 7
502 "12-day-old" "isolate D (40 gam/µl)" 0
503 "12-day-old" "isolate D (40 gam/µl)" 0
504 "12-day-old" "isolate D (40 gam/µl)" 0
505 "12-day-old" "isolate D (40 gam/µl)" 1
506 "8-day-old" "isolate D (40 gam/µl)" 5
507 "8-day-old" "isolate D (40 gam/µl)" 2
508 "8-day-old" "isolate D (40 gam/µl)" 0
509 "8-day-old" "isolate D (40 gam/µl)" 7
510 "8-day-old" "isolate D (40 gam/µl)" 5
511 "8-day-old" "isolate D (40 gam/µl)" 0
512 "8-day-old" "isolate D (40 gam/µl)" 4
513 "8-day-old" "isolate D (40 gam/µl)" 0
514 "8-day-old" "isolate D (40 gam/µl)" 0
515 "8-day-old" "isolate D (40 gam/µl)" 1
516 "8-day-old" "isolate D (40 gam/µl)" 3
