"mosquito_id" "cup" "age_class" "isolate" "exposure" "infection_status" "daysPI" "censor"
26 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 3 1
27 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 3 1
28 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 3 1
29 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 3 1
30 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 3 1
31 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 3 1
32 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 4 1
33 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 4 1
34 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 4 1
35 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 4 1
36 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 4 1
37 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 4 1
38 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 4 1
39 "G2Ayes1" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 4 1
40 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 4 1
41 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 4 1
42 "G3Ano1" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 5 1
43 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 5 1
44 "G3Cno1" "4-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 5 1
45 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 5 1
46 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 5 1
47 "G2Dyes1" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 5 1
48 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 6 1
49 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 6 1
50 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 6 1
51 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 6 1
52 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 6 1
53 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 6 1
54 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 6 1
55 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 6 1
56 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 7 1
57 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 7 1
58 "G1Cno2" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 7 1
59 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 7 1
60 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 7 1
61 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 7 1
62 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 7 1
63 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 7 1
64 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 7 1
65 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 7 1
66 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 7 1
67 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 8 1
68 "G3Ano1" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 8 1
69 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 8 1
70 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 8 1
71 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 8 1
72 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 8 1
73 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 8 1
74 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 9 1
75 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 9 1
76 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 9 1
77 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 9 1
78 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 9 1
79 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 9 1
80 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 9 1
81 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 9 1
82 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 9 1
83 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 9 1
84 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 9 1
85 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 9 1
86 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 10 1
87 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 10 1
88 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 10 1
89 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 10 1
90 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 10 1
91 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 10 1
92 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 10 1
93 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 10 1
94 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 10 1
95 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 10 1
96 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 10 1
97 "G3Dno2" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 10 1
98 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 10 1
99 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 10 1
100 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 10 1
101 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 10 1
102 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 10 1
103 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 10 1
104 "G2Dyes1" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 10 1
105 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 10 1
106 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 10 1
107 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 10 1
108 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 10 1
109 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 11 1
110 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 11 1
111 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 11 1
112 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 11 1
113 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 11 1
114 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 11 1
115 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 11 1
116 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 11 1
117 "G2Dyes1" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 11 1
118 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 11 1
119 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 11 1
120 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 11 1
121 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 11 1
122 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 11 1
123 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 11 1
124 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 11 1
125 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 12 1
126 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 12 1
127 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 12 1
128 "G2Ano2" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 12 1
129 "G2Ano2" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 12 1
130 "G2Ano2" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 12 1
131 "G3Ano1" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 12 1
132 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 12 1
133 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 12 1
134 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 12 1
135 "G2Cno2" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 12 1
136 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 12 1
137 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 12 1
138 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 12 1
139 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 12 1
140 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 12 1
141 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 12 1
142 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 12 1
143 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 12 1
144 "G2Ayes1" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 12 1
145 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 12 1
146 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 12 1
147 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 12 1
148 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 12 1
149 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 12 1
150 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 12 1
151 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 13 1
152 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 13 1
153 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 13 1
154 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 13 1
155 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 13 1
156 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 13 1
157 "G3Cno1" "4-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 13 1
158 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 13 1
159 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 13 1
160 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 13 1
161 "G2Dno2" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 13 1
162 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 13 1
163 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 13 1
164 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 13 1
165 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 13 1
166 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 13 1
167 "G2Byes1" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 13 1
168 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 13 1
169 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 13 1
170 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 14 1
171 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 14 1
172 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 14 1
173 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 14 1
174 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 14 1
175 "G2Cno2" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 14 1
176 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 14 1
177 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 14 1
178 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 14 1
179 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 14 1
180 "G2Byes1" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 14 1
181 "G2Byes1" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 14 1
182 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 14 1
183 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 14 1
184 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 14 1
185 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 14 1
186 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 14 1
187 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 14 1
188 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 15 1
189 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 15 1
190 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 15 1
191 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 15 1
192 "G2Ayes1" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 15 1
193 "G2Byes1" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 15 1
194 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 15 1
195 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 15 1
196 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 15 1
197 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 15 1
198 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 15 1
199 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 15 1
200 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 15 1
201 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 16 1
202 "G3Ano1" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 16 1
203 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 16 1
204 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 16 1
205 "G3Dno2" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 16 1
206 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 16 1
207 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 16 1
208 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 16 1
209 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 16 1
210 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 16 1
211 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 16 1
212 "G2Ayes1" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 16 1
213 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 16 1
214 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 16 1
215 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 16 1
216 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 16 1
217 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 16 1
218 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 16 1
219 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 16 1
220 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 16 1
221 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 16 1
222 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 16 1
223 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 16 1
224 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 16 1
225 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 16 1
226 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 16 1
227 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 16 1
228 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 16 1
229 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 16 1
230 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 17 1
231 "G3Ano1" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 17 1
232 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 17 1
233 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 17 1
234 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 17 1
235 "G1Cno2" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 17 1
236 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 17 1
237 "G3Cno1" "4-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 17 1
238 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 17 1
239 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 17 1
240 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 17 1
241 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 17 1
242 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 17 1
243 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 17 1
244 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 17 1
245 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 17 1
246 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 17 1
247 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 17 1
248 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 17 1
249 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 17 1
250 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 17 1
251 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 17 1
252 "G2Dyes1" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 17 1
253 "G2Dyes1" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 17 1
254 "G2Dyes1" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 17 1
255 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 18 1
256 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 18 1
257 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 18 1
258 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 18 1
259 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 18 1
260 "G1Cno2" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 18 1
261 "G3Cno1" "4-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 18 1
262 "G3Cno1" "4-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 18 1
263 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 18 1
264 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 18 1
265 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 18 1
266 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 18 1
267 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 18 1
268 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 18 1
269 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 18 1
270 "G2Byes1" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 18 1
271 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 18 1
272 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 18 1
273 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 18 1
274 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 18 1
275 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 19 1
276 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 19 1
277 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 19 1
278 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 19 1
279 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 19 1
